Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,experiment-trial-component,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,feature-group,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,device,,
DeleteTags,Grants permission to delete the specified set of tags from an Amazon SageMaker resource,Tagging,,aws:TagKeys,
DeleteTrial,Grants permission to delete a trial,Write,experiment-trial*,,
DeleteTrialComponent,Grants permission to delete a trial component,Write,experiment-trial-component*,,
DeleteUserProfile,Grants permission to delete a UserProfile,Write,user-profile*,,
DeleteWorkforce,Grants permission to delete a workforce,Write,workforce*,,
DeleteWorkteam,Grants permission to delete a workteam,Write,workteam*,,
DeregisterDevices,Grants permission to deregister a set of devices,Write,device*,,
DescribeAction,Grants permission to get information about an action,Read,action*,,
DescribeAlgorithm,Grants permission to describe an algorithm,Read,algorithm*,,
DescribeApp,Grants permission to describe an App,Read,app*,,
DescribeAppImageConfig,Grants permission to describe an AppImageConfig,Read,app-image-config*,,
DescribeArtifact,Grants permission to get information about an artifact,Read,artifact*,,
DescribeAutoMLJob,Grants permission to describe an AutoML job that was created via the CreateAutoMLJob API,Read,automl-job*,,
DescribeCodeRepository,Grants permission to describe a CodeRepository,Read,code-repository*,,
DescribeCompilationJob,Grants permission to return information about a compilation job,Read,compilation-job*,,
DescribeContext,Grants permission to get information about a context,Read,context*,,
DescribeDataQualityJobDefinition,Grants permission to return information about a data quality job definition,Read,data-quality-job-definition*,,
DescribeDevice,Grants permission to access information about a device,Read,device*,,
DescribeDeviceFleet,Grants permission to access information about a device fleet,Read,device-fleet*,,
DescribeDomain,Grants permission to describe a Domain,Read,domain*,,
DescribeEdgePackagingJob,Grants permission to access information about an edge packaging job,Read,edge-packaging-job*,,
DescribeEndpoint,Grants permission to return the description of an endpoint,Read,endpoint*,,
DescribeEndpointConfig,"Grants permission to return the description of an endpoint configuration, which was created using the CreateEndpointConfig API",Read,endpoint-config*,,
DescribeExperiment,Grants permission to return information about an experiment,Read,experiment*,,
DescribeFeatureGroup,Grants permission to return information about a feature group,Read,feature-group*,,
DescribeFeatureMetadata,Grants permission to return information about a feature metadata,Read,feature-group*,,
DescribeFlowDefinition,Grants permission to return information about the specified flow definition,Read,flow-definition*,,
DescribeHumanLoop,Grants permission to return information about the specified human loop,Read,human-loop*,,
DescribeHumanTaskUi,Grants permission to return detailed information about the specified human review workflow user interface,Read,human-task-ui*,,
DescribeHyperParameterTuningJob,Grants permission to describe a hyper parameter tuning job that was created via the CreateHyperParameterTuningJob API,Read,hyper-parameter-tuning-job*,,
DescribeImage,Grants permission to return information about a SageMaker Image,Read,image*,,
DescribeImageVersion,Grants permission to return information about a SageMaker ImageVersion,Read,image-version*,,
DescribeInferenceRecommendationsJob,Grants permission to get information about an inference recommendations job,Read,inference-recommendations-job*,,
DescribeLabelingJob,Grants permission to return information about a labeling job,Read,labeling-job*,,
DescribeLineageGroup,Grants permission to describe a lineage group,Read,,,
DescribeModel,Grants permission to describe a model that you created using the CreateModel API,Read,model*,,
DescribeModelBiasJobDefinition,Grants permission to return information about a model bias job definition,Read,model-bias-job-definition*,,
DescribeModelExplainabilityJobDefinition,Grants permission to return information about a model explainability job definition,Read,model-explainability-job-definition*,,
DescribeModelPackage,Grants permission to describe a ModelPackage,Read,model-package*,,
DescribeModelPackageGroup,Grants permission to describe a ModelPackageGroup,Read,model-package-group*,,
DescribeModelQualityJobDefinition,Grants permission to return information about a model quality job definition,Read,model-quality-job-definition*,,
DescribeMonitoringSchedule,Grants permission to return information about a monitoring schedule,Read,monitoring-schedule*,,
DescribeNotebookInstance,Grants permission to return information about a notebook instance,Read,notebook-instance*,,
DescribeNotebookInstanceLifecycleConfig,Grants permission to describe a notebook instance lifecycle configuration that was created via the CreateNotebookInstanceLifecycleConfig API,Read,notebook-instance-lifecycle-config*,,
DescribePipeline,Grants permission to get information about a pipeline,Read,pipeline*,,
DescribePipelineDefinitionForExecution,Grants permission to get the pipeline definition for a pipeline execution,Read,pipeline-execution*,,
DescribePipelineExecution,Grants permission to get information about a pipeline execution,Read,pipeline-execution*,,
DescribeProcessingJob,Grants permission to return information about a processing job,Read,processing-job*,,
DescribeProject,Grants permission to describe a project,Read,project*,,
DescribeStudioLifecycleConfig,Grants permission to describe a Studio Lifecycle Configuration,Read,studio-lifecycle-config*,,
DescribeSubscribedWorkteam,Grants permission to return information about a subscribed workteam,Read,workteam*,,
DescribeTrainingJob,Grants permission to return information about a training job,Read,training-job*,,
DescribeTransformJob,Grants permission to return information about a transform job,Read,transform-job*,,
DescribeTrial,Grants permission to return information about a trial,Read,experiment-trial*,,
DescribeTrialComponent,Grants permission to return information about a trial component,Read,experiment-trial-component*,,
DescribeUserProfile,Grants permission to describe a UserProfile,Read,user-profile*,,
DescribeWorkforce,Grants permission to return information about a workforce,Read,workforce*,,
DescribeWorkteam,Grants permission to return information about a workteam,Read,workteam*,,
DisableSagemakerServicecatalogPortfolio,Grants permission to disable a SageMaker Service Catalog Portfolio,Write,,,
DisassociateTrialComponent,Grants permission to disassociate a trial component from a trial,Write,experiment-trial*,,
DisassociateTrialComponent,Grants permission to disassociate a trial component from a trial,Write,experiment-trial-component*,,
DisassociateTrialComponent,Grants permission to disassociate a trial component from a trial,Write,processing-job*,,
EnableSagemakerServicecatalogPortfolio,Grants permission to enable a SageMaker Service Catalog Portfolio,Write,,,
GetDeviceFleetReport,Grants permission to access a summary of the devices in a device fleet,Read,device-fleet*,,
GetDeviceRegistration,Grants permission to get device registration. After you deploy a model onto edge devices this api is used to get current device registration,Read,device*,,
GetLineageGroupPolicy,Grants permission to retreive a lineage group policy,Read,,,
GetModelPackageGroupPolicy,Grants permission to get a ModelPackageGroup policy,Read,model-package-group*,,
GetRecord,Grants permission to get a record from a feature group,Read,feature-group*,,
GetSagemakerServicecatalogPortfolioStatus,Grants permission to get a SageMaker Service Catalog Portfolio,Read,,,
GetSearchSuggestions,Grants permission to get search suggestions when provided with a keyword,Read,,,
InvokeEndpoint,"Grants permission to invoke an endpoint. After you deploy a model into production using Amazon SageMaker hosting services, your client applications use this API to get inferences from the model hosted at the specified endpoint",Read,endpoint*,,
InvokeEndpoint,"Grants permission to invoke an endpoint. After you deploy a model into production using Amazon SageMaker hosting services, your client applications use this API to get inferences from the model hosted at the specified endpoint",Read,,sagemaker:TargetModel,
InvokeEndpointAsync,Grants permission to get inferences from the hosted model at the specified endpoint in an asynchronous manner,Read,endpoint*,,
ListActions,Grants permission to list actions,List,,,
ListAlgorithms,Grants permission to list Algorithms,List,,,
ListAppImageConfigs,Grants permission to list the AppImageConfigs in your account,List,,,
ListApps,Grants permission to list the Apps in your account,List,,,
ListArtifacts,Grants permission to list artifacts,List,,,
ListAssociations,Grants permission to list associations,List,,,
ListAutoMLJobs,Grants permission to list AutoML jobs,List,,,
ListCandidatesForAutoMLJob,Grants permission to lists candidates for an AutoML job,List,,,
ListCodeRepositories,Grants permission to list code repositories,List,,,
ListCompilationJobs,Grants permission to list compilation jobs,List,,,
ListContexts,Grants permission to list contexts,List,,,
ListDataQualityJobDefinitions,Grants permission to list data quality job definitions,List,,,
ListDeviceFleets,Grants permission to list device fleets,List,,,
ListDevices,Grants permission to list devices,List,,,
ListDomains,Grants permission to list the Domains in your account,List,,,
ListEdgePackagingJobs,Grants permission to list edge packaging jobs,List,,,
ListEndpointConfigs,Grants permission to list endpoint configurations,List,,,
ListEndpoints,Grants permission to list endpoints,List,,,
ListExperiments,Grants permission to list experiments,List,,,
ListFeatureGroups,Grants permission to list feature groups,List,,,
ListFlowDefinitions,"Grants permission to return summary information about flow definitions, given the specified parameters",List,,,
ListHumanLoops,"Grants permission to return summary information about human loops, given the specified parameters",List,,,
ListHumanTaskUis,"Grants permission to return summary information about human review workflow user interfaces, given the specified parameters",List,,,
ListHyperParameterTuningJobs,Grants permission to list hyper parameter tuning jobs,List,,,
ListImageVersions,Grants permission to list ImageVersions that belong to a SageMaker Image,List,image*,,
ListImages,Grants permission to list SageMaker Images in your account,List,,,
ListInferenceRecommendationsJobs,Grants permission to list inference recommendations jobs,List,,,
ListLabelingJobs,Grants permission to list labeling jobs,List,,,
ListLabelingJobsForWorkteam,Grants permission to list labeling jobs for workteam,List,workteam*,,
ListLineageGroups,Grants permission to list lineage groups,List,,,
ListModelBiasJobDefinitions,Grants permission to list model bias job definitions,List,,,
ListModelExplainabilityJobDefinitions,Grants permission to list model explainability job definitions,List,,,
ListModelMetadata,Grants permission to list model metadata for inference recommendations jobs,List,,,
ListModelPackageGroups,Grants permission to list ModelPackageGroups,List,,,
ListModelPackages,Grants permission to list ModelPackages,List,model-package-group,,
ListModelQualityJobDefinitions,Grants permission to list model quality job definitions,List,,,
ListModels,Grants permission to list the models created with the CreateModel API,List,,,
ListMonitoringExecutions,Grants permission to list monitoring executions,List,,,
ListMonitoringSchedules,Grants permission to list monitoring schedules,List,,,
ListNotebookInstanceLifecycleConfigs,Grants permission to list the notebook instance lifecycle configurations that can be deployed using Amazon SageMaker,List,,,
ListNotebookInstances,Grants permission to list the Amazon SageMaker notebook instances in the requester's account in an AWS Region,List,,,
ListPipelineExecutionSteps,Grants permission to list steps for a pipeline execution,List,pipeline-execution*,,
ListPipelineExecutions,Grants permission to list executions for a pipeline,List,pipeline*,,
ListPipelineParametersForExecution,Grants permission to list parameters for a pipeline execution,List,pipeline-execution*,,
ListPipelines,Grants permission to list pipelines,List,,,
ListProcessingJobs,Grants permission to list processing jobs,List,,,
ListProjects,Grants permission to list Projects,List,,,
ListStudioLifecycleConfigs,Grants permission to list the Studio Lifecycle Configurations that can be deployed using Amazon SageMaker,List,,,
ListSubscribedWorkteams,Grants permission to list subscribed workteams,List,,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,hyper-parameter-tuning-job,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,labeling-job,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,model,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,model-bias-job-definition,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,model-explainability-job-definition,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,model-package,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,model-package-group,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,model-quality-job-definition,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,notebook-instance,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,human-task-ui,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,pipeline,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,project,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,training-job,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,transform-job,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,user-profile,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,workteam,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,monitoring-schedule,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,flow-definition,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,image,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,experiment-trial-component,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,action,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,algorithm,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,app,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,feature-group,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,artifact,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,automl-job,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,code-repository,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,context,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,data-quality-job-definition,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,app-image-config,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,device-fleet,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,domain,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,edge-packaging-job,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,endpoint,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,endpoint-config,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,device,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,experiment,,
ListTags,Grants permission to list the tag set associated with the specified resource,List,experiment-trial,,
ListTrainingJobs,Grants permission to list training jobs,List,,,
ListTrainingJobsForHyperParameterTuningJob,Grants permission to list training jobs for a hyper parameter tuning job,List,hyper-parameter-tuning-job*,,
ListTransformJobs,Grants permission to list transform jobs,List,,,
ListTrialComponents,Grants permission to list trial components,List,,,
ListTrials,Grants permission to list trials,List,,,
ListUserProfiles,Grants permission to list the UserProfiles in your account,List,,,
ListWorkforces,Grants permission to list workforces,List,,,
ListWorkteams,Grants permission to list workteams,List,,,
PutLineageGroupPolicy,Grants permission to put a lineage group policy,Write,,,
PutModelPackageGroupPolicy,Grants permission to put a ModelPackageGroup policy,Write,model-package-group*,,
PutRecord,Grants permission to put a record to a feature group,Write,feature-group*,,
QueryLineage,Grants permission to explore the lineage graph,List,,,
RegisterDevices,Grants permission to register a set of devices,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
RegisterDevices,Grants permission to register a set of devices,Write,device*,,
RenderUiTemplate,Grants permission to render a UI template used for a human annotation task,Read,,,iam:PassRole
RetryPipelineExecution,Grants permission to retry a pipeline execution,Write,pipeline-execution*,,
Search,Grants permission to search for SageMaker objects,Read,,,
SendHeartbeat,Grants permission to publish heartbeat data from devices. After you deploy a model onto edge devices this api is used to report device status,Write,device*,,
SendPipelineExecutionStepFailure,Grants permission to fail a pending callback step,Write,pipeline-execution*,,
SendPipelineExecutionStepSuccess,Grants permission to succeed a pending callback step,Write,pipeline-execution*,,
StartHumanLoop,Grants permission to start a human loop,Write,flow-definition*,,
StartMonitoringSchedule,Grants permission to start a monitoring schedule,Write,monitoring-schedule*,,
StartNotebookInstance,Grants permission to start a notebook instance. This launches an EC2 instance with the latest version of the libraries and attaches your EBS volume,Write,notebook-instance*,,
StartPipelineExecution,Grants permission to start a pipeline execution,Write,pipeline*,,
StopAutoMLJob,Grants permission to stop a running AutoML job,Write,automl-job*,,
StopCompilationJob,Grants permission to stop a compilation job,Write,compilation-job*,,
StopEdgePackagingJob,Grants permission to stop an edge packaging job,Write,edge-packaging-job*,,
StopHumanLoop,Grants permission to stop a specified human loop,Write,human-loop*,,
StopHyperParameterTuningJob,Grants permission to stop a running hyper parameter tuning job create via the CreateHyperParameterTuningJob,Write,hyper-parameter-tuning-job*,,
StopInferenceRecommendationsJob,Grants permission to stop an inference recommendations job,Write,inference-recommendations-job*,,
StopLabelingJob,Grants permission to stop a labeling job. Any labels already generated will be exported before stopping,Write,labeling-job*,,
StopMonitoringSchedule,Grants permission to stop a monitoring schedule,Write,monitoring-schedule*,,
StopNotebookInstance,"Grants permission to stop a notebook instance. This terminates the EC2 instance. Before terminating the instance, Amazon SageMaker disconnects the EBS volume from it. Amazon SageMaker preserves the EBS volume",Write,notebook-instance*,,
StopPipelineExecution,Grants permission to stop a pipeline execution,Write,pipeline-execution*,,
StopProcessingJob,"Grants permission to stop a processing job. To stop a job, Amazon SageMaker sends the algorithm the SIGTERM signal, which delays job termination for 120 seconds",Write,processing-job*,,
StopTrainingJob,"Grants permission to stop a training job. To stop a job, Amazon SageMaker sends the algorithm the SIGTERM signal, which delays job termination for 120 seconds",Write,training-job*,,
StopTransformJob,"Grants permission to stop a transform job. When Amazon SageMaker receives a StopTransformJob request, the status of the job changes to Stopping. After Amazon SageMaker stops the job, the status is set to Stopped",Write,transform-job*,,
UpdateAction,Grants permission to update an action,Write,action*,,
UpdateAppImageConfig,Grants permission to update an AppImageConfig,Write,app-image-config*,,
UpdateArtifact,Grants permission to update an artifact,Write,artifact*,,
UpdateCodeRepository,Grants permission to update a CodeRepository,Write,code-repository*,,
UpdateContext,Grants permission to update a context,Write,context*,,
UpdateDeviceFleet,Grants permission to update a device fleet,Write,device-fleet*,,
UpdateDevices,Grants permission to update a set of devices,Write,device*,,
UpdateDomain,Grants permission to update a Domain,Write,domain*,,
UpdateDomain,Grants permission to update a Domain,Write,,sagemaker:VpcSecurityGroupIds  sagemaker:InstanceTypes  sagemaker:DomainSharingOutputKmsKey  sagemaker:ImageArns  sagemaker:ImageVersionArns,
UpdateEndpoint,Grants permission to update an endpoint to use the endpoint configuration specified in the request,Write,endpoint*,,
UpdateEndpointWeightsAndCapacities,"Grants permission to update variant weight, capacity, or both of one or more variants associated with an endpoint",Write,endpoint*,,
UpdateExperiment,Grants permission to update an experiment,Write,experiment*,,
UpdateFeatureGroup,Grants permission to update a feature group,Write,feature-group*,,
UpdateFeatureMetadata,Grants permission to update a feature metadata,Write,feature-group*,,
UpdateImage,Grants permission to update the properties of a SageMaker Image,Write,image*,,iam:PassRole
UpdateModelPackage,Grants permission to update a ModelPackage,Write,model-package*,,
UpdateModelPackage,Grants permission to update a ModelPackage,Write,,sagemaker:ModelApprovalStatus,
UpdateMonitoringSchedule,Grants permission to update a monitoring schedule,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  sagemaker:InstanceTypes  sagemaker:MaxRuntimeInSeconds  sagemaker:NetworkIsolation  sagemaker:OutputKmsKey  sagemaker:VolumeKmsKey  sagemaker:VpcSecurityGroupIds  sagemaker:VpcSubnets  sagemaker:InterContainerTrafficEncryption,
UpdateMonitoringSchedule,Grants permission to update a monitoring schedule,Write,monitoring-schedule*,,iam:PassRole
UpdateNotebookInstance,Grants permission to update a notebook instance. Notebook instance updates include upgrading or downgrading the EC2 instance used for your notebook instance to accommodate changes in your workload requirements. You can also update the VPC security groups,Write,notebook-instance*,,
UpdateNotebookInstance,Grants permission to update a notebook instance. Notebook instance updates include upgrading or downgrading the EC2 instance used for your notebook instance to accommodate changes in your workload requirements. You can also update the VPC security groups,Write,,sagemaker:AcceleratorTypes  sagemaker:InstanceTypes  sagemaker:MinimumInstanceMetadataServiceVersion  sagemaker:RootAccess,
UpdateNotebookInstanceLifecycleConfig,Grants permission to updates a notebook instance lifecycle configuration created with the CreateNotebookInstanceLifecycleConfig API,Write,notebook-instance-lifecycle-config*,,
UpdatePipeline,Grants permission to update a pipeline,Write,pipeline*,,iam:PassRole
UpdatePipelineExecution,Grants permission to update a pipeline execution,Write,pipeline-execution*,,
UpdateProject,Grants permission to update a Project,Write,project*,,
UpdateProject,Grants permission to update a Project,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
UpdateTrainingJob,Grants permission to update a training job,Write,training-job*,,
UpdateTrainingJob,Grants permission to update a training job,Write,,sagemaker:InstanceTypes,
UpdateTrial,Grants permission to update a trial,Write,experiment-trial*,,
UpdateTrialComponent,Grants permission to update a trial component,Write,experiment-trial-component*,,
UpdateUserProfile,Grants permission to update a UserProfile,Write,user-profile*,,
UpdateUserProfile,Grants permission to update a UserProfile,Write,,sagemaker:InstanceTypes  sagemaker:VpcSecurityGroupIds  sagemaker:InstanceTypes  sagemaker:DomainSharingOutputKmsKey  sagemaker:ImageArns  sagemaker:ImageVersionArns,
UpdateWorkforce,Grants permission to update a workforce,Write,workforce*,,
UpdateWorkteam,Grants permission to update a workteam,Write,workteam*,,
